id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,KODE_KD,kemendagri_nama_desa_kelurahan,jumlah_keluarga,satuan,tahun
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210001,SUKAMAJU,32.73.14,CIBEUNYING KIDUL,32.73.14.1004,SUKAMAJU,799,KELUARGA,2021
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210006,SUKAPADA,32.73.14,CIBEUNYING KIDUL,32.73.14.1005,SUKAPADA,1910,KELUARGA,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,3273110004,CIPADUNG,32.73.25,CIBIRU,32.73.25.1002,CIPADUNG,2632,KELUARGA,2021
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,3273110006,CISURUPAN,32.73.25,CIBIRU,32.73.25.1004,CISURUPAN,1772,KELUARGA,2021
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,3273110005,PALASARI,32.73.25,CIBIRU,32.73.25.1001,PALASARI,1623,KELUARGA,2021
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,3273110003,PASIR BIRU,32.73.25,CIBIRU,32.73.25.1003,PASIR BIRU,1606,KELUARGA,2021
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190001,ARJUNA,32.73.06,CICENDO,32.73.06.1002,ARJUNA,1141,KELUARGA,2021
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190005,HUSEN SASTRANEGARA,32.73.06,CICENDO,32.73.06.1001,HUSEN SASTRANEGARA,1994,KELUARGA,2021
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190004,PAJAJARAN,32.73.06,CICENDO,32.73.06.1003,PAJAJARAN,3232,KELUARGA,2021
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190003,PAMOYANAN,32.73.06,CICENDO,32.73.06.1005,PAMOYANAN,454,KELUARGA,2021
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190002,PASIRKALIKI,32.73.06,CICENDO,32.73.06.1004,PASIR KALIKI,789,KELUARGA,2021
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,3273190006,SUKARAJA,32.73.06,CICENDO,32.73.06.1006,SUKARAJA,1514,KELUARGA,2021
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,3273260002,CIUMBULEUIT,32.73.08,CIDADAP,32.73.08.1002,CIUMBULEUIT,2222,KELUARGA,2021
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,3273260001,HEGARMANAH,32.73.08,CIDADAP,32.73.08.1001,HEGARMANAH,1698,KELUARGA,2021
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,3273260003,LEDENG,32.73.08,CIDADAP,32.73.08.1003,LEDENG,902,KELUARGA,2021
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,3273121002,BABAKAN PENGHULU,32.73.29,CINAMBO,32.73.29.1004,BABAKAN PENGHULU,715,KELUARGA,2021
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,3273121001,CISARANTEN WETAN,32.73.29,CINAMBO,32.73.29.1001,CISARANTEN WETAN,867,KELUARGA,2021
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,3273121003,PAKEMITAN,32.73.29,CINAMBO,32.73.29.1002,PAKEMITAN,511,KELUARGA,2021
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,3273121004,SUKAMULYA,32.73.29,CINAMBO,32.73.29.1003,SUKAMULYA,594,KELUARGA,2021
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230001,CIPAGANTI,32.73.02,COBLONG,32.73.02.1001,CIPAGANTI,1345,KELUARGA,2021
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230006,DAGO,32.73.02,COBLONG,32.73.02.1004,DAGO,3881,KELUARGA,2021
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,LEBAK GEDE,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,916,KELUARGA,2021
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230002,LEBAK SILIWANGI,32.73.02,COBLONG,32.73.02.1006,LEBAK SILIWANGI,505,KELUARGA,2021
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230004,SADANG SERANG,32.73.02,COBLONG,32.73.02.1003,SADANGSERANG,2783,KELUARGA,2021
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230005,SEKELOA,32.73.02,COBLONG,32.73.02.1005,SEKELOA,2159,KELUARGA,2021
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,3273101004,CIMINCRANG,32.73.27,GEDEBAGE,32.73.27.1001,CIMENERANG,525,KELUARGA,2021
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,3273101003,CISARANTEN KIDUL,32.73.27,GEDEBAGE,32.73.27.1002,CISANTREN KIDUL,1565,KELUARGA,2021
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,3273101001,RANCABOLANG,32.73.27,GEDEBAGE,32.73.27.1003,RANCABOLANG,696,KELUARGA,2021
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,3273101002,RANCANUMPANG,32.73.27,GEDEBAGE,32.73.27.1004,RANCANUMPANG,326,KELUARGA,2021
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150004,BABAKAN SARI,32.73.16,KIARACONDONG,32.73.16.1005,BABAKANSARI,4195,KELUARGA,2021
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150005,BABAKAN SURABAYA,32.73.16,KIARACONDONG,32.73.16.1003,BABAKAN SURABAYA,2396,KELUARGA,2021
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150006,CICAHEUM,32.73.16,KIARACONDONG,32.73.16.1004,CICAHEUM,2258,KELUARGA,2021
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150003,KEBON JAYANTI,32.73.16,KIARACONDONG,32.73.16.1002,KEBON JAYANTI,1624,KELUARGA,2021
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150001,KEBON KANGKUNG,32.73.16,KIARACONDONG,32.73.16.1006,KEBON KANGKUNG,1480,KELUARGA,2021
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,3508,KELUARGA,2021
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,3273070005,BURANGRANG,32.73.13,LENGKONG,32.73.13.1003,BURANGRANG,954,KELUARGA,2021
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,3273070001,CIJAGRA,32.73.13,LENGKONG,32.73.13.1001,CIJAGRA,612,KELUARGA,2021
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,3273070006,CIKAWAO,32.73.13,LENGKONG,32.73.13.1007,CIKAWAO,1288,KELUARGA,2021
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,3273070003,LINGKAR SELATAN,32.73.13,LENGKONG,32.73.13.1002,LINGKAR SELATAN,386,KELUARGA,2021
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,3273070004,MALABAR,32.73.13,LENGKONG,32.73.13.1006,MALABAR,709,KELUARGA,2021
